file_name,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std
96_unhealthy.wav,0.098,0.029,1963.398,429.247,2065.324,291.792,2529.911,246.988,2969.965,205.844,29.219,15.694,19.893,18.786,18.512,17.469,39.084,4.96,4.091,3.922,3.147,2.433,2.308,3.088,4094.531,1032.773,-142.416,116.205,-32.16,49.112,-8.39,22.885,-18.317,20.111,-22.103,10.792,-12.998,14.083,-16.393,4.163,-4.374,3.736,-10.86,1.878,-7.468,-2.792,57.29,18.563,13.811,8.163,9.008,6.678,8.0,6.631,6.068,7.288,6.605,6.183,5.901,5.394,6.599,5.817,6.265,5.659,6.259,5.632
110_healthy.wav,0.173,0.066,3253.16,718.194,3028.504,318.466,3474.075,249.361,3877.095,195.088,21.466,13.392,16.907,18.207,18.084,16.451,14.995,4.837,3.511,4.31,3.661,3.208,2.1,1.433,6929.736,1203.679,-35.285,61.267,14.046,28.649,4.324,-1.365,-0.784,5.129,5.352,1.226,-7.262,-0.52,0.215,-1.294,-0.107,-1.257,-2.531,0.574,1.575,-1.719,53.13,18.746,20.819,16.019,12.557,11.958,8.502,7.778,7.678,7.976,8.478,6.507,6.88,6.243,6.538,6.595,7.043,7.739,7.898,7.8
85_unhealthy.wav,0.121,0.061,2183.576,732.564,2060.788,332.151,2473.787,291.195,2867.084,250.95,26.183,18.838,21.929,21.489,21.566,21.56,38.865,6.164,4.517,4.551,4.013,3.532,3.62,4.43,4436.298,1235.44,-185.5,98.926,-36.443,44.428,-17.76,21.284,-20.294,13.772,-15.499,11.033,-16.788,2.335,-12.635,0.151,-4.4,-2.466,-8.966,6.872,-6.697,-1.208,63.098,29.495,18.173,15.405,15.174,13.732,12.242,11.124,11.511,11.854,11.337,10.029,9.587,8.812,9.025,9.653,10.991,11.581,9.163,11.045
54_unhealthy.wav,0.132,0.085,2568.334,977.404,2549.717,455.166,3130.641,362.832,3665.62,280.588,21.964,18.06,20.543,21.615,21.307,19.796,17.133,5.569,4.509,4.327,3.953,3.772,3.095,2.455,5229.704,1829.928,-156.286,75.628,-16.518,16.341,5.802,6.01,-4.146,-3.764,-6.169,-8.928,-4.101,-2.207,-4.651,-5.42,-4.689,-7.081,-3.885,1.386,-2.002,-4.717,48.443,31.523,16.569,15.14,11.219,9.777,8.731,9.842,9.318,9.585,8.37,9.574,9.234,9.064,7.334,8.153,6.235,7.513,8.962,6.941
34_unhealthy.wav,0.135,0.039,2769.793,529.538,2649.07,287.417,3119.832,225.332,3553.303,180.706,20.661,16.488,20.159,19.295,19.023,17.747,17.622,4.163,3.806,3.947,3.321,2.634,2.309,1.987,5811.479,1117.984,-28.048,65.661,-7.321,33.756,11.126,14.604,2.093,10.009,-0.225,10.135,-2.855,3.096,-1.667,-0.111,-1.668,1.861,-3.952,-1.654,-6.46,-3.963,25.802,18.385,15.915,13.165,9.657,8.687,8.84,6.146,6.908,7.234,8.563,6.06,6.297,5.949,6.653,5.654,5.766,6.169,6.136,8.071
166_healthy.wav,0.1,0.06,2481.646,760.805,2680.338,401.572,3258.703,335.46,3787.464,310.209,18.302,16.424,18.907,18.027,20.127,17.307,17.445,5.396,4.403,4.53,3.317,4.06,3.027,3.463,5448.034,1599.537,-111.6,85.562,3.525,16.362,2.203,5.977,-5.036,-3.964,-0.105,1.567,-5.79,-5.087,-0.213,-4.404,-0.779,1.553,0.362,0.579,-0.693,-1.81,69.671,27.923,17.367,16.947,15.474,11.135,12.577,9.401,10.93,9.589,9.921,8.102,8.726,8.114,8.052,8.285,7.532,7.381,7.613,7.614
125_healthy.wav,0.144,0.083,3274.499,887.871,3176.574,356.688,3655.94,267.721,4076.214,230.203,23.541,14.645,19.147,18.61,18.277,16.593,15.366,5.059,3.952,5.01,4.308,3.663,2.555,1.684,7273.193,1538.106,-40.904,61.54,9.869,10.099,8.454,5.372,8.383,3.519,8.25,5.879,-0.098,-0.561,0.556,-1.982,1.911,0.079,-1.265,1.236,1.498,0.947,62.377,23.897,20.207,18.781,13.102,14.178,10.856,10.698,9.629,9.741,8.6,8.636,7.399,8.14,8.378,9.262,9.593,9.695,10.134,9.815
138_healthy.wav,0.165,0.062,3222.753,790.573,2955.624,410.305,3442.684,323.172,3878.196,263.269,19.083,12.937,16.32,15.669,16.692,17.195,15.716,4.447,4.066,4.193,3.587,2.947,3.414,1.957,6686.776,1496.039,4.77,64.471,-2.451,10.432,3.253,7.834,3.103,1.406,6.745,4.88,3.277,1.748,3.333,2.347,1.426,-0.603,-2.177,-1.6,-0.613,-4.048,63.491,22.912,27.283,15.82,10.892,12.691,9.613,10.787,9.779,9.523,8.33,8.222,7.361,7.717,6.432,6.877,6.235,7.2,7.57,7.286
149_healthy.wav,0.211,0.092,4058.755,1059.846,3424.138,389.697,3793.386,268.794,4103.818,178.418,16.666,12.493,16.596,18.159,19.202,18.09,16.253,3.944,3.795,4.159,3.929,3.698,3.613,2.103,8380.146,1554.646,-52.642,47.784,13.463,2.221,13.26,9.146,14.453,0.866,9.462,6.998,-0.694,1.735,8.506,6.939,3.184,2.254,-0.908,2.033,2.278,3.459,53.362,21.975,20.83,13.184,11.799,9.029,9.672,9.313,9.18,9.398,7.642,8.19,8.347,8.375,7.973,7.565,7.508,7.744,9.029,7.897
44_unhealthy.wav,0.069,0.023,1629.301,498.11,2098.009,562.086,2811.089,537.734,3475.881,496.555,26.877,15.951,20.822,21.88,21.819,18.857,15.545,4.356,4.156,4.407,3.554,3.577,3.068,2.461,3418.675,1531.028,-118.394,130.255,-3.089,15.729,3.947,10.665,6.838,3.398,0.77,-2.534,-3.107,-2.867,-1.624,-0.2,0.741,2.026,2.083,4.144,3.154,2.253,48.909,31.056,21.662,15.598,10.888,7.864,6.792,6.313,6.776,5.757,6.927,9.103,6.52,8.901,8.544,7.831,7.673,7.857,8.614,8.026
